model,anahtar_kelime,en_yakin_5_kelime
word2vec_lemmatized_cbow_win2_dim100,premium,worth (0.998); helpful (0.998); traveler (0.998); many (0.998); great (0.997)
word2vec_lemmatized_skipgram_win2_dim100,premium,worth (0.992); helpful (0.991); unlocks (0.991); subscription (0.991); definitely (0.990)
word2vec_lemmatized_cbow_win4_dim100,premium,worth (0.998); traveler (0.998); helpful (0.998); totally (0.998); subscription (0.998)
word2vec_lemmatized_skipgram_win4_dim100,premium,worth (0.990); extra (0.981); totally (0.981); subscription (0.980); unlocks (0.979)
word2vec_lemmatized_cbow_win2_dim300,premium,useful (0.999); feature (0.999); helpful (0.999); worth (0.999); really (0.999)
word2vec_lemmatized_skipgram_win2_dim300,premium,worth (0.997); subscription (0.997); definitely (0.997); helpful (0.996); extra (0.996)
word2vec_lemmatized_cbow_win4_dim300,premium,worth (0.999); feature (0.999); subscription (0.999); helpful (0.999); really (0.999)
word2vec_lemmatized_skipgram_win4_dim300,premium,worth (0.996); subscription (0.990); extra (0.990); totally (0.989); feature (0.988)
word2vec_stemmed_cbow_win2_dim100,premium,price (0.998); extra (0.998); total (0.998); worth (0.998); valu (0.998)
word2vec_stemmed_skipgram_win2_dim100,premium,extra (0.991); total (0.990); price (0.990); worth (0.989); definit (0.989)
word2vec_stemmed_cbow_win4_dim100,premium,worth (0.998); extra (0.998); price (0.998); total (0.998); valu (0.998)
word2vec_stemmed_skipgram_win4_dim100,premium,worth (0.989); extra (0.989); total (0.983); subscript (0.981); unlock (0.970)
word2vec_stemmed_cbow_win2_dim300,premium,featur (0.999); total (0.999); worth (0.999); price (0.999); bit (0.999)
word2vec_stemmed_skipgram_win2_dim300,premium,definit (0.996); extra (0.996); total (0.996); worth (0.996); price (0.995)
word2vec_stemmed_cbow_win4_dim300,premium,worth (0.999); featur (0.999); total (0.999); extra (0.999); price (0.999)
word2vec_stemmed_skipgram_win4_dim300,premium,worth (0.994); extra (0.993); total (0.992); subscript (0.990); unlock (0.985)
