model,ortalama_cosine,ortalama_anlamsal
word2vec_lemmatized_cbow_win2_dim100,0.9998,4.8
word2vec_lemmatized_skipgram_win2_dim100,0.999,4.8
word2vec_lemmatized_cbow_win4_dim100,0.9998,4.6
word2vec_lemmatized_skipgram_win4_dim100,0.9971,4.6
word2vec_lemmatized_cbow_win2_dim300,0.9999,4.8
word2vec_lemmatized_skipgram_win2_dim300,0.9996,4.6
word2vec_lemmatized_cbow_win4_dim300,0.9999,4.6
word2vec_lemmatized_skipgram_win4_dim300,0.999,4.8
word2vec_stemmed_cbow_win2_dim100,0.9997,4.8
word2vec_stemmed_skipgram_win2_dim100,0.9989,4.8
word2vec_stemmed_cbow_win4_dim100,0.9997,4.8
word2vec_stemmed_skipgram_win4_dim100,0.997,4.6
word2vec_stemmed_cbow_win2_dim300,0.9999,4.6
word2vec_stemmed_skipgram_win2_dim300,0.9996,4.6
word2vec_stemmed_cbow_win4_dim300,0.9999,4.6
word2vec_stemmed_skipgram_win4_dim300,0.9989,4.6
